file_path,description,lines_of_code
src/application/RoadmapService.ts,Service for Roadmap operations,597
src/index.ts,index implementation,542
src/application/DocumentTemplates.ts,DocumentTemplates implementation,485
src/governance/handlers/planning/roadmap/RoadmapManagementHandlers.ts,Handler for RoadmapManagementHandlers.ts operations,385
src/application/TemplateService.ts,Service for Template operations,336
src/domain/entities/roadmap/Roadmap.ts,Roadmap implementation,297
src/application/DocumentationService.ts,Service for Documentation operations,285
src/governance/handlers/planning/RoadmapHandlers.ts,Handler for RoadmapHandlers.ts operations,278
src/governance/handlers/planning/roadmap/RoadmapNoteHandlers.ts,Handler for RoadmapNoteHandlers.ts operations,271
src/governance/config/TaskToolDefinitions.ts,TaskToolDefinitions implementation,232
src/governance/handlers/task/TaskCreationHandlers.ts,Handlers for creating tasks and subtasks,226
src/governance/config/DocumentToolDefinitions.ts,DocumentToolDefinitions implementation,214
src/governance/GovernanceToolProxy.ts,Proxy for communicating with underlying tools and services,210
src/domain/entities/roadmap/RoadmapInitiative.ts,RoadmapInitiative implementation,190
src/domain/entities/roadmap/RoadmapTimeframe.ts,RoadmapTimeframe implementation,189
src/governance/router/routes.ts,routes implementation,188
src/governance/handlers/task/TaskManagementHandlers.ts,Handlers for managing tasks (list/start/complete implementation),185
src/governance/handlers/VersionControlHandlers.ts,Handlers for version control operations (commit/branch/PR),178
src/governance/handlers/document/RequirementsHandlers.ts,Handlers for requirements documents (PRD/Epic),177
src/governance/WorkflowState.ts,State management for the workflow phases and context,175
src/domain/entities/roadmap/RoadmapItem.ts,RoadmapItem implementation,163
src/infrastructure/storage/JsonFileStorage.ts,JsonFileStorage implementation,158
src/governance/handlers/planning/SprintHandlers.ts,Handlers for sprint-related operations,154
src/domain/entities/RoadmapNote.ts,RoadmapNote implementation,146
src/domain/entities/Task.ts,Task implementation,136
src/application/PlanningService.ts,Service for Planning operations,128
src/infrastructure/documentation/MarkdownFileService.ts,Service for MarkdownFile operations,128
src/governance/config/SprintToolDefinitions.ts,SprintToolDefinitions implementation,127
src/governance/handlers/planning/SessionHandlers.ts,Handlers for planning session management operations,118
src/infrastructure/versioncontrol/GitInfrastructureService.ts,Service for GitInfrastructure operations,116
src/domain/entities/Story.ts,Story implementation,112
src/governance/config/VersionControlToolDefinitions.ts,VersionControlToolDefinitions implementation,111
src/domain/entities/Epic.ts,Epic implementation,109
src/infrastructure/storage/JsonFileRoadmapNoteRepository.ts,Data repository for JsonFileRoadmapNote,107
src/governance/GovernanceServer.ts,Main Governance Server class that configures and runs the MCP server,98
src/infrastructure/storage/JsonFileRoadmapRepository.ts,Data repository for JsonFileRoadmap,98
src/infrastructure/storage/JsonFileThinkingProcessRepository.ts,Data repository for JsonFileThinkingProcess,94
src/application/VersionControlService.ts,Service for VersionControl operations,92
src/governance/handlers/task/FileOperationHandlers.ts,Handlers for file read/write tracking operations,88
src/governance/handlers/ResourceHandler.ts,Handler for Resource operations,85
src/domain/entities/Todo.ts,Todo implementation,83
src/domain/entities/PRD.ts,PRD implementation,80
src/governance/handlers/document/UserStoryHandlers.ts,Handlers for user story document operations,77
src/infrastructure/storage/RoadmapJsonFileStorage.ts,RoadmapJsonFileStorage implementation,76
src/governance/handlers/document/ResearchHandlers.ts,Handlers for research-related documents (Spikes),75
src/domain/entities/ThinkingProcess.ts,ThinkingProcess implementation,73
src/application/prompts.ts,prompts implementation,68
src/governance/utils/CommandValidator.ts,CommandValidator implementation,62
src/governance/config/WorkflowToolDefinitions.ts,WorkflowToolDefinitions implementation,58
src/domain/entities/ImplementationPlan.ts,ImplementationPlan implementation,57
src/domain/repositories/RoadmapNoteRepository.ts,Data repository for RoadmapNote,54
src/application/PlanParser.ts,PlanParser implementation,51
src/domain/entities/Goal.ts,Goal implementation,50
src/governance/router/GovernanceRouter.ts,GovernanceRouter implementation,48
src/domain/repositories/RoadmapRepository.ts,Data repository for Roadmap,47
src/domain/repositories/TaskRepository.ts,Data repository for Task,45
src/governance/handlers/planning/SearchHandlers.ts,Handlers for code search operations,43
src/domain/repositories/EpicRepository.ts,Data repository for Epic,38
src/domain/repositories/StoryRepository.ts,Data repository for Story,38
src/application/ThinkingService.ts,Service for Thinking operations,35
src/domain/entities/Thought.ts,Thought implementation,33
src/domain/repositories/PRDRepository.ts,Data repository for PRD,31
src/governance/config/SearchToolDefinitions.ts,SearchToolDefinitions implementation,30
src/governance/config/ToolDefinitionsFactory.ts,ToolDefinitionsFactory implementation,27
src/governance/handlers/ActionHandler.ts,Central handler that routes action requests to appropriate specialized handlers,26
src/governance/handlers/index.ts,Export index for all handlers,21
src/infrastructure/storage/InMemoryThinkingProcessRepository.ts,Data repository for InMemoryThinkingProcess,21
src/domain/entities/Roadmap.ts,Roadmap implementation,19
src/domain/repositories/ImplementationPlanRepository.ts,Data repository for ImplementationPlan,12
src/domain/repositories/GoalRepository.ts,Data repository for Goal,11
src/domain/repositories/ThinkingProcessRepository.ts,Data repository for ThinkingProcess,10
src/governance-server.ts,governance-server implementation,5
src/domain/entities/roadmap/index.ts,index implementation,4
src/governance/handlers/document/index.ts,Export index for document handlers,3
src/governance/handlers/planning/index.ts,Export index for planning handlers,3
src/governance/handlers/task/index.ts,Export index for task handlers,3
src/governance/handlers/planning/roadmap/index.ts,index implementation,2
